film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
10 Things I Hate About You,1999,Comedy|Drama|Romance,97,4.05,4904749047100230034555354220260503199910112201106221010571539540538219950,715395,USA,English|English|French,https://letterboxd.com/film/10-things-i-hate-about-you/,2026-05-04
If I Had Legs I’d Kick You,2025,Drama,113,3.67,10465221046522023003458310769202605032424112025172023080551721813673597560,172181,USA,English|English|Spanish,https://letterboxd.com/film/if-i-had-legs-id-kick-you/,2026-05-04
Ready or Not 2: Here I Come,2026,Comedy|Horror,108,3.36,11501131150113202300345353585202605032026213202403302251367403362955350,136740,USA,English|Chinese|English|Spanish,https://letterboxd.com/film/ready-or-not-2-here-i-come/,2026-05-04
Kill Bill: Vol. 1,2003,Crime|Action,111,4.22,24950056337023003455655202202605011200311112011061511547335642231498270,473356,USA,English|English|Japanese|French,https://letterboxd.com/film/kill-bill-vol-1/,2026-05-04
Good Will Hunting,1997,Drama,127,4.38,51621516210230034547662026050311997121120110622550248943831681900,502489,USA,English,https://letterboxd.com/film/good-will-hunting/,2026-05-04
Whiplash,2014,Drama|Music|Thriller,107,4.42,1490330230034513365282026050320142014201312232014575598244243122730,755982,USA,English,https://letterboxd.com/film/whiplash-2014/,2026-05-04
The Grand Budapest Hotel,2014,Comedy|Drama,100,4.24,951139511302300345671420260503201411220120718545989342431015680,459893,USA|Germany,English|English|French,https://letterboxd.com/film/the-grand-budapest-hotel/,2026-05-04
Iron Lung,2026,Mystery|Science Fiction|Horror,125,3.17,1006159100615902300345326747669202605012026211212023042251532693172658990,153269,USA,English,https://letterboxd.com/film/iron-lung/,2026-05-04
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure|Action|Fantasy,179,4.39,306191702300345308241202605032001111611121111111115711113111111111120110622540791143928818900,407911,New Zealand|USA,English,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,2026-05-04
Parasite,2019,Thriller|Comedy|Drama,133,4.53,42640642640602300345856537102026050320192019112144111201801042019569941545353159280,699415,South Korea,Korean|English|German|Korean,https://letterboxd.com/film/parasite-2019/,2026-05-04
Anaconda,2025,Comedy|Horror|Adventure,100,2.46,,137665,USA,English,https://letterboxd.com/film/anaconda-2025/,2026-05-04
Eternal Sunshine of the Spotless Mind,2004,Science Fiction|Romance|Drama,108,4.24,17039100230034511662140120260503200420110615569496142434571590,694961,USA,English,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,2026-05-04
The Bride!,2026,Horror|Science Fiction|Fantasy,127,2.86,10457671045767202602300345115412420260503120262026111141120230803202651146062862208620,114606,USA,English,https://letterboxd.com/film/the-bride-2026/,2026-05-04
The Silence of the Lambs,1991,Crime|Thriller|Horror|Drama,119,4.34,517825178202300345188842026050319911111120110622539786843430154220,397868,USA,English,https://letterboxd.com/film/the-silence-of-the-lambs/,2026-05-04
(500) Days of Summer,2009,Romance|Comedy|Drama,95,3.65,3935039350500023003450599503202605032009500212123317220110620500500568615836530160290,686158,USA,English|English|French|Swedish,https://letterboxd.com/film/500-days-of-summer/,2026-05-04
28 Years Later,2025,Science Fiction|Thriller|Horror,115,3.44,99278699278628023003450140906620260503202528113111212202303172828546788734412810150,467887,UK|USA,English|English|Swedish,https://letterboxd.com/film/28-years-later/,2026-05-04
Rental Family,2025,Drama|Comedy,110,3.87,1092778109277820250230034536948202605032025202512111320231122202551128643872992500,112864,USA,English|English|Japanese,https://letterboxd.com/film/rental-family-2025/,2026-05-04
Call Me by Your Name,2017,Romance|Drama,132,3.85,997400230034500732420260503201720160523560007438529560350,600074,Brazil|France|Italy|USA,English|French|English|Italian,https://letterboxd.com/film/call-me-by-your-name/,2026-05-04
Inglourious Basterds,2009,War|Drama|Thriller,153,4.36,41352413520230034507467302026050320092120110620542860543635474790,428605,Germany|USA,English|German|English|French|Italian,https://letterboxd.com/film/inglourious-basterds/,2026-05-04
Peaky Blinders: The Immortal Man,2026,Crime|Drama,112,3.13,78784978784902300345423635412026050320261331202109215901193132601080,90119,UK,English,https://letterboxd.com/film/peaky-blinders-the-immortal-man/,2026-05-04
