username,film_slug,film_id,rating
jay,fyre-2019,,3.0
jay,glass-2019,,2.5
jay,escape-room-2019,,2.5
jay,holmes-watson,,0.5
jay,welcome-to-marwen,,1.5
jay,vice-2018,,2.5
jay,dumplin,,3.5
jay,spider-man-into-the-spider-verse,,4.0
jay,aquaman-2018,,2.0
jay,mary-queen-of-scots-2018,,2.0
jay,dragon-ball-super-broly,,3.5
jay,creed-ii,,3.5
jay,bird-box,,3.0
jay,the-grinch,,2.0
jay,the-nutcracker-and-the-four-realms,,1.5
jay,the-princess-switch,,1.0
jay,bohemian-rhapsody,,1.5
jay,venom-2018,,2.0
jay,bad-times-at-the-el-royale,,3.5
jay,apostle-2018,,3.5
jay,johnny-english-strikes-again,,2.0
jay,hold-the-dark,,3.0
jay,green-book,,2.5
jay,the-death-life-of-john-f-donovan,,2.5
jay,slice-2018,,1.5
jay,if-beale-street-could-talk,,4.0
jay,widows-2018,,4.0
jay,life-itself-2018,,1.0
jay,halloween-2018,,3.0
jay,sierra-burgess-is-a-loser,,2.0
jay,the-predator,,2.0
jay,vox-lux,,4.0
jay,at-eternitys-gate,,3.5
jay,suspiria-2018,,4.0
jay,the-quake,,2.5
jay,a-star-is-born-2018,,3.5
jay,the-front-runner,,2.0
jay,the-ballad-of-buster-scruggs,,3.5
jay,roma-2018,,4.5
jay,the-favourite,,5.0
jay,first-man,,3.5
jay,skin-2018-1,,0.5
jay,to-all-the-boys-ive-loved-before,,3.0
jay,the-package-2018,,1.5
jay,billionaire-boys-club-2018,,1.5
jay,mission-impossible-fallout,,4.5
jay,mamma-mia-here-we-go-again,,3.5
jay,tau-2018,,2.5
jay,sicario-day-of-the-soldado,,2.0
jay,jurassic-world-fallen-kingdom,,2.5
jay,oceans-eight,,3.0
jay,tag-2018,,2.0
jay,slender-man,,0.5
jay,under-the-silver-lake,,2.5
jay,blackkklansman,,4.0
jay,climax-2018,,4.5
jay,fahrenheit-451-2018,,2.0
jay,the-kissing-booth,,0.5
jay,anon,,1.5
jay,avengers-infinity-war,,3.0
jay,truth-or-dare-2018,,1.0
jay,the-guernsey-literary-potato-peel-pie-society,,2.5
jay,ideal-home,,3.0
jay,shiva-baby,,3.0
jay,ready-player-one,,3.0
jay,unfriended-dark-web,,2.5
jay,a-quiet-place-2018,,3.0
jay,the-strangers-prey-at-night,,2.5
jay,a-wrinkle-in-time-2018,,2.0
jay,mute-2018,,1.0
jay,unsane,,3.5
jay,irreplaceable-you,,2.5
jay,game-night,,3.5
jay,isle-of-dogs-2018,,4.0
jay,hellraiser-judgment,,1.0
jay,annihilation,,3.5
jay,when-we-first-met,,1.5
jay,the-1517-to-paris,,1.0
jay,the-cloverfield-paradox,,2.5
jay,black-panther,,2.5
jay,tully-2018,,3.5
jay,skate-kitchen,,3.5
jay,hereditary,,4.5
jay,sorry-to-bother-you,,3.5
jay,wildlife-2018,,3.5
jay,eighth-grade,,4.0
jay,juliet-naked,,3.0
jay,the-open-house,,1.0
jay,fauve,,3.5
jay,searching-2018,,3.0
jay,maze-runner-the-death-cure,,3.0
jay,insidious-the-last-key,,2.5
jay,bright,,1.5
jay,phantom-thread,,4.5
jay,star-wars-the-last-jedi,,3.0
jay,the-greatest-showman,,1.5
jay,wonder-2017,,3.0
jay,marguerite-2017,,3.5
jay,paddington-2,,4.0
jay,murder-on-the-orient-express-2017,,2.5
jay,justice-league,,2.0
jay,jigsaw-2017,,2.0
jay,coco-2017,,4.0
jay,the-man-who-invented-christmas,,2.5
jay,happy-death-day,,2.0
jay,blade-runner-2049,,4.0
jay,thor-ragnarok,,3.0
jay,spf-18,,0.5
jay,kingsman-the-golden-circle,,2.5
jay,unicorn-store,,3.0
jay,revenge-2017,,3.5
jay,mom-and-dad-2017,,1.5
jay,the-death-of-stalin,,3.5
jay,9-11-2017,,0.5
jay,mother-2017,,3.5
jay,it-2017,,3.0
jay,three-billboards-outside-ebbing-missouri,,3.5
jay,victoria-abdul,,2.0
jay,lean-on-pete,,3.5
jay,lady-bird,,4.0
jay,darkest-hour,,3.0
jay,first-reformed,,4.0
jay,the-shape-of-water,,4.0
jay,leatherface,,1.5
jay,the-snowman-2017,,1.0
jay,death-note-2017,,0.5
jay,victor-crowley,,1.5
jay,the-silent-child,,3.0
jay,logan-lucky,,4.0
jay,the-dark-tower,,2.0
jay,dunkirk-2017,,3.0
jay,tour-de-pharmacy,,4.0
jay,spider-man-homecoming,,3.0
jay,escape-room-2017,,1.0
jay,annabelle-creation,,1.5
jay,transformers-the-last-knight,,1.0
jay,the-book-of-henry,,1.0
jay,you-were-never-really-here,,4.5
jay,good-time,,4.0
jay,the-beguiled-2017,,3.0
jay,pirates-of-the-caribbean-dead-men-tell-no-tales,,1.0
jay,the-killing-of-a-sacred-deer,,4.0
jay,the-mummy-2017,,1.5
jay,how-to-talk-to-girls-at-parties,,2.5
jay,okja,,3.5
jay,baywatch,,1.0
jay,alien-covenant,,3.0
jay,the-circle-2017,,1.5
jay,guardians-of-the-galaxy-vol-2,,2.5
jay,the-fate-of-the-furious,,2.0
jay,gifted-2017,,2.5
jay,power-rangers,,2.0
jay,life-2017,,2.5
jay,mayhem-2017,,3.0
jay,the-boss-baby,,1.5
jay,the-disaster-artist,,3.5
jay,atomic-blonde,,3.5
jay,baby-driver,,3.0
jay,song-to-song,,1.5
jay,amy-schumer-the-leather-special,,0.5
jay,beauty-and-the-beast-2017,,2.0
jay,logan-2017,,4.0
jay,the-lego-batman-movie,,3.0
jay,rings-2017,,0.5
jay,john-wick-chapter-2,,3.5
jay,the-robbery,,3.0
jay,78-52,,3.5
jay,marjorie-prime,,2.5
jay,get-out-2017,,4.0
jay,call-me-by-your-name,,4.0
jay,t2-trainspotting,,2.5
jay,a-ghost-story-2017,,4.0
jay,the-big-sick,,3.5
jay,ingrid-goes-west,,3.5
jay,the-bye-bye-man,,0.5
jay,eloise-2016,,1.0
jay,assassins-creed,,1.5
jay,rogue-one-a-star-wars-story,,2.5
jay,silence,,3.0
jay,fantastic-beasts-and-where-to-find-them,,2.5
jay,terrifier-2016,,1.5
jay,moana-2016,,3.0
jay,split-2016,,2.0
jay,the-void-2016,,2.5
jay,the-promise-2016-1,,2.0
jay,lion,,3.5
jay,free-fire,,3.0
jay,the-bad-batch,,2.5
jay,bridget-joness-baby,,2.5
jay,nocturnal-animals,,3.0
jay,moonlight-2016,,4.5
jay,arrival-2016,,4.0
jay,la-la-land,,3.5
jay,suicide-squad-2016,,0.5
jay,blair-witch,,1.5
jay,ghostbusters-2016,,1.5
jay,nerve-2016,,1.5
jay,popstar-never-stop-never-stopping,,4.0
jay,the-neon-demon,,1.5
jay,hell-or-high-water,,3.0
jay,raw-2016,,4.0
jay,the-conjuring-2,,3.0
jay,the-nice-guys,,4.0
jay,x-men-apocalypse,,2.5
jay,captain-america-civil-war,,2.5
jay,criminal-2016,,2.0
jay,the-belko-experiment,,2.0
jay,sausage-party,,0.5
jay,batman-v-superman-dawn-of-justice,,1.5
jay,10-cloverfield-lane,,3.5
jay,deadpool,,2.5
jay,zootopia,,2.5
jay,cabin-fever-2016,,1.0
jay,manchester-by-the-sea,,4.0
jay,31-2016,,1.5
jay,hunt-for-the-wilderpeople,,3.5
jay,pride-and-prejudice-and-zombies,,2.0
jay,dirty-grandpa,,1.5
jay,friend-request,,1.0
jay,the-revenant-2015,,4.0
jay,star-wars-the-force-awakens,,3.0
jay,eddie-the-eagle,,3.5
jay,the-hateful-eight,,4.0
jay,krampus,,4.0
jay,the-big-short,,2.5
jay,the-hunger-games-mockingjay-part-2,,2.0
jay,martyrs-2015,,0.5
