username,movie_title,film_slug,film_id,rating,genre_1,genre_2,genre_3,genre_4,genre_5
jay,Aftersun,aftersun,,4.5,Drama,,,,
jay,Triangle of Sadness,triangle-of-sadness,,2.5,Drama,Comedy,,,
jay,Enys Men,enys-men,,4.0,Drama,Horror,,,
jay,The Stranger,the-stranger-2022,,3.5,Thriller,Drama,Crime,,
jay,Chip 'n Dale: Rescue Rangers,chip-n-dale-rescue-rangers,,3.0,Mystery,Animation,Comedy,Adventure,Family
jay,Men,men-2022,,2.5,Fantasy,Horror,Thriller,,
jay,Jackass 4.5,jackass-45,,3.5,Action,Comedy,Documentary,,
jay,EO,eo,,4.0,Adventure,Drama,,,
jay,Senior Year,senior-year-2022,,2.0,Comedy,,,,
jay,Top Gun: Maverick,top-gun-maverick,,4.0,Action,Drama,,,
jay,Doctor Strange in the Multiverse of Madness,doctor-strange-in-the-multiverse-of-madness,,2.5,Fantasy,Action,Adventure,,
jay,Doctor Who: Legend of the Sea Devils,doctor-who-legend-of-the-sea-devils,,1.0,Drama,Science Fiction,Adventure,,
jay,Sonic the Hedgehog 2,sonic-the-hedgehog-2,,2.5,Adventure,Family,Comedy,Action,
jay,Gateways Grind,gateways-grind,,3.5,Documentary,,,,
jay,RRR,rrr,,4.0,Adventure,Action,Drama,,
jay,Morbius,morbius,,0.5,Science Fiction,Action,Fantasy,,
jay,Deep Water,deep-water-2022,,2.5,Drama,Mystery,Thriller,,
jay,Bodies Bodies Bodies,bodies-bodies-bodies,,3.0,Comedy,Mystery,Horror,Thriller,
jay,X,x-2022,,3.0,Horror,Thriller,,,
jay,The Unbearable Weight of Massive Talent,the-unbearable-weight-of-massive-talent,,2.0,Crime,Action,Comedy,,
jay,Everything Everywhere All at Once,everything-everywhere-all-at-once,,3.0,Science Fiction,Adventure,Comedy,Action,
jay,Windfall,windfall,,2.0,Crime,Drama,Thriller,,
jay,The Adam Project,the-adam-project,,2.0,Comedy,Adventure,Science Fiction,,
jay,Turning Red,turning-red,,3.0,Family,Fantasy,Animation,Comedy,
jay,Texas Chainsaw Massacre,texas-chainsaw-massacre,,1.5,Drama,Crime,Horror,,
jay,Tall Girl 2,tall-girl-2,,1.0,Comedy,Romance,Drama,,
jay,Death on the Nile,death-on-the-nile-2022,,2.0,Crime,Thriller,Mystery,,
jay,The Tinder Swindler,the-tinder-swindler,,3.0,Crime,Documentary,,,
jay,Marry Me,marry-me-2022,,3.0,Comedy,Romance,Music,,
jay,Jackass Forever,jackass-forever,,4.0,Action,Documentary,Comedy,,
jay,Emily the Criminal,emily-the-criminal,,3.5,Thriller,Crime,Drama,,
jay,Am I OK?,am-i-ok,,1.5,Romance,Comedy,Drama,,
jay,Cha Cha Real Smooth,cha-cha-real-smooth,,3.5,Romance,Drama,Comedy,,
jay,Alice,alice-2022,,2.0,Thriller,Drama,,,
jay,Sharp Stick,sharp-stick,,2.5,Drama,Romance,Comedy,,
jay,Living,living-2022,,3.5,Drama,,,,
jay,Fire of Love,fire-of-love-2022,,3.5,Documentary,,,,
jay,Fresh,fresh-2022,,3.0,Horror,Thriller,,,
jay,The Princess,the-princess-2022,,2.5,Documentary,History,,,
jay,Scream,scream-2022,,3.0,Mystery,Horror,,,
jay,Death to 2021,death-to-2021,,0.5,Comedy,,,,
jay,The Matrix Resurrections,the-matrix-resurrections,,4.0,Adventure,Science Fiction,Action,,
jay,Spider-Man: No Way Home,spider-man-no-way-home,,3.0,Adventure,Action,Science Fiction,,
jay,Don't Look Up,dont-look-up-2021,,2.0,Drama,Science Fiction,Comedy,,
jay,Nightmare Alley,nightmare-alley-2021,,3.5,Drama,Crime,Thriller,,
jay,West Side Story,west-side-story-2021,,3.5,Romance,Crime,Drama,,
jay,Licorice Pizza,licorice-pizza,,4.0,Drama,Romance,Comedy,,
jay,"tick, tick... BOOM!",tick-tick-boom-2021,,3.0,Drama,Music,,,
jay,House of Gucci,house-of-gucci,,2.0,Drama,Crime,History,,
jay,Millie Lies Low,millie-lies-low,,3.5,Comedy,Drama,,,
jay,Love Hard,love-hard,,2.0,Comedy,Romance,,,
jay,Eternals,eternals,,2.5,Action,Science Fiction,Adventure,,
jay,Encanto,encanto,,2.5,Comedy,Family,Fantasy,Animation,
jay,The Harder They Fall,the-harder-they-fall-2021,,3.5,Western,,,,
jay,Diana: The Musical,diana-the-musical,,1.5,Drama,History,Romance,,
jay,No Time to Die,no-time-to-die-2021,,3.0,Action,Adventure,Thriller,,
jay,The Black Phone,the-black-phone,,3.0,Thriller,Horror,,,
jay,The Tragedy of Macbeth,the-tragedy-of-macbeth,,3.5,Drama,,,,
jay,Venom: Let There Be Carnage,venom-let-there-be-carnage,,2.5,Science Fiction,Action,Adventure,,
jay,The Humans,the-humans,,3.5,Drama,,,,
jay,The Last Duel,the-last-duel-2021,,3.5,Thriller,History,Drama,Action,
jay,The Guilty,the-guilty-2021,,2.5,Drama,Thriller,,,
jay,Halloween Kills,halloween-kills,,2.0,Horror,Thriller,,,
jay,Official Competition,official-competition,,4.0,Drama,Comedy,,,
jay,Last Night in Soho,last-night-in-soho,,2.0,Horror,Mystery,,,
jay,Marcel the Shell with Shoes On,marcel-the-shell-with-shoes-on-2021,,4.0,Animation,Drama,Comedy,Family,
jay,The Lost Daughter,the-lost-daughter-2021,,3.5,Drama,,,,
jay,Spencer,spencer-2021,,4.5,Drama,,,,
jay,Cinderella,cinderella-2021,,0.5,Fantasy,Comedy,Romance,,
jay,Dune,dune-2021,,4.0,Science Fiction,Adventure,,,
jay,King Richard,king-richard,,2.5,History,Drama,,,
jay,C'mon C'mon,cmon-cmon,,4.0,Drama,,,,
jay,The Power of the Dog,the-power-of-the-dog,,4.0,Western,Drama,,,
jay,Malignant,malignant-2021,,4.0,Horror,Mystery,,,
jay,He's All That,hes-all-that,,0.5,Comedy,Romance,,,
jay,Ghostbusters: Afterlife,ghostbusters-afterlife,,1.5,Comedy,Adventure,Fantasy,,
jay,Candyman,candyman-2021,,3.0,Horror,Thriller,,,
jay,Shang-Chi and the Legend of the Ten Rings,shang-chi-and-the-legend-of-the-ten-rings,,3.0,Adventure,Fantasy,Action,,
jay,The Kissing Booth 3,the-kissing-booth-3,,0.5,Romance,Comedy,,,
jay,She Will,she-will,,2.5,Drama,Horror,,,
jay,Free Guy,free-guy,,2.0,Comedy,Adventure,Science Fiction,,
jay,The Suicide Squad,the-suicide-squad,,3.0,Action,Comedy,Adventure,,
jay,Old,old-2021,,1.5,Thriller,Mystery,Horror,,
jay,Red Rocket,red-rocket-2021,,4.0,Comedy,Drama,,,
jay,Fear Street: 1666,fear-street-1666,,2.5,Mystery,Horror,,,
jay,Lamb,lamb-2021,,3.0,Drama,Fantasy,Horror,,
jay,Titane,titane,,4.5,Thriller,Horror,Science Fiction,Drama,
jay,Pig,pig-2021,,3.5,Mystery,Thriller,Drama,,
jay,Bergman Island,bergman-island-2021,,3.5,Romance,Drama,,,
jay,"The French Dispatch of the Liberty, Kansas Evening Sun",the-french-dispatch-of-the-liberty-kansas,,3.5,Drama,Comedy,,,
